distance,confidence,lat,lon
13419,100,33.7247552,-118.2750109
13373,100,33.7247572,-118.2750103
13494,100,33.7247592,-118.2750096
13436,100,33.7247605,-118.275009
13431,100,33.7247622,-118.2750078
13504,100,33.7247635,-118.275007
13350,100,33.7247646,-118.2750054
13445,100,33.724766,-118.2750039
13439,100,33.7247671,-118.2750028
13401,100,33.7247686,-118.2750014
13491,100,33.7247699,-118.2750006
13353,100,33.7247718,-118.2749998
13436,100,33.7247736,-118.2749988
13490,100,33.7247746,-118.2749981
13287,100,33.724776,-118.2749974
13396,100,33.7247774,-118.2749969
13334,100,33.7247783,-118.2749961
13407,100,33.7247796,-118.274995
13154,100,33.7247807,-118.2749939
13259,100,33.7247821,-118.2749929
13337,100,33.7247837,-118.2749921
13182,100,33.724785,-118.2749913
13321,100,33.7247869,-118.2749903
13255,100,33.7247883,-118.2749896
12970,100,33.7247898,-118.2749885
12751,100,33.7247913,-118.2749874
13192,100,33.7247925,-118.2749866
12966,100,33.7247939,-118.2749855
13192,100,33.7247957,-118.2749847
12823,100,33.7247967,-118.2749842
12595,100,33.7247981,-118.2749836
13057,100,33.7247995,-118.2749832
12717,100,33.7248009,-118.2749823
12830,100,33.7248024,-118.2749812
12344,100,33.7248036,-118.2749803
12717,100,33.7248058,-118.2749793
12834,100,33.7248078,-118.2749788
12528,100,33.72481,-118.274978
12420,100,33.7248121,-118.2749777
12344,100,33.7248138,-118.2749774
12467,100,33.7248157,-118.2749769
12376,100,33.7248177,-118.2749761
12499,100,33.7248194,-118.2749754
12218,100,33.724822,-118.2749745
12008,100,33.7248241,-118.2749738
12375,100,33.7248264,-118.2749728
11982,100,33.7248288,-118.2749717
12281,100,33.7248299,-118.2749705
12197,100,33.7248312,-118.2749693
12334,100,33.7248324,-118.274968
11925,100,33.7248335,-118.2749669
12213,100,33.7248352,-118.274966
12049,100,33.7248366,-118.2749651
12080,100,33.7248385,-118.2749643
12083,100,33.7248397,-118.2749635
