distance,confidence,lat,lon
2281,100,33.7244735,-118.27473
2277,100,33.7244755,-118.2747293
2315,100,33.7244776,-118.2747285
2257,100,33.7244788,-118.2747283
2285,100,33.72448,-118.2747276
2322,100,33.7244804,-118.2747273
2284,100,33.7244797,-118.2747269
2254,100,33.7244772,-118.2747265
2290,100,33.7244763,-118.2747261
2312,100,33.724475,-118.2747249
2301,100,33.7244737,-118.2747246
2312,100,33.7244726,-118.2747252
2272,100,33.7244726,-118.2747262
2242,100,33.7244733,-118.2747271
2302,100,33.7244732,-118.2747278
2185,100,33.724473,-118.2747283
2271,100,33.7244725,-118.2747283
2221,100,33.7244714,-118.2747286
2030,70,33.72447,-118.2747288
3351,40,33.7244681,-118.274731
3493,25,33.7244668,-118.2747298
0,0,33.724467,-118.2747274
0,0,33.724468,-118.2747249
0,35,33.7244673,-118.2747229
11802,90,33.7244677,-118.2747229
11637,100,33.7244692,-118.2747229
12123,100,33.7244726,-118.2747222
12166,100,33.7244768,-118.2747218
12353,100,33.7244822,-118.2747228
11857,100,33.7244872,-118.2747237
11752,100,33.7244905,-118.2747245
11776,100,33.7244943,-118.2747251
12118,100,33.7244972,-118.2747247
11628,100,33.7244993,-118.2747234
11770,100,33.7245022,-118.2747219
11983,100,33.7245061,-118.2747212
11922,100,33.7245117,-118.2747214
12265,100,33.7245159,-118.2747214
12211,100,33.7245203,-118.2747214
12079,100,33.724523,-118.2747203
11834,100,33.7245237,-118.2747182
12127,100,33.7245253,-118.2747163
11760,100,33.7245281,-118.2747154
12229,100,33.7245303,-118.2747155
11783,100,33.7245341,-118.2747165
11954,100,33.7245367,-118.274718
12149,100,33.7245387,-118.2747201
12023,100,33.7245403,-118.2747221
12011,100,33.7245418,-118.2747232
12078,100,33.7245437,-118.2747238
12241,100,33.7245453,-118.274724
11795,100,33.724546,-118.2747242
12224,100,33.7245473,-118.2747248
11929,100,33.7245487,-118.2747257
12124,100,33.72455,-118.2747264
12538,100,33.7245512,-118.2747264
11973,100,33.7245522,-118.2747262
11937,100,33.7245536,-118.2747258
11900,100,33.7245546,-118.2747248
12213,100,33.7245551,-118.2747235
12297,100,33.7245555,-118.2747226
12009,100,33.7245548,-118.2747233
12280,100,33.7245544,-118.2747255
12008,100,33.7245542,-118.2747271
12111,100,33.7245544,-118.274727
12471,100,33.7245556,-118.2747261
12653,100,33.7245571,-118.2747249
12256,100,33.7245581,-118.2747234
12000,100,33.7245583,-118.2747205
12158,100,33.7245586,-118.2747163
12285,100,33.7245594,-118.2747135
12357,100,33.7245603,-118.2747121
12399,100,33.7245612,-118.274711
12379,100,33.7245599,-118.2747092
12360,100,33.7245587,-118.2747095
12523,100,33.7245571,-118.2747111
12245,100,33.7245552,-118.2747119
12497,100,33.724554,-118.2747116
12242,100,33.7245532,-118.2747097
12327,100,33.7245522,-118.2747081
12503,100,33.7245512,-118.2747066
12494,100,33.7245502,-118.2747036
12490,100,33.7245494,-118.2747009
12471,100,33.7245483,-118.2746988
12440,100,33.7245472,-118.2746979
12373,100,33.7245461,-118.2746961
12463,100,33.7245438,-118.2746902
12549,100,33.7245411,-118.2746835
12566,100,33.7245391,-118.2746806
12268,100,33.724537,-118.2746783
12572,100,33.7245349,-118.2746773
11960,100,33.7245329,-118.2746773
12790,100,33.7245294,-118.2746798
12517,100,33.7245268,-118.2746819
12036,100,33.7245236,-118.2746825
12106,100,33.7245204,-118.2746829
11988,100,33.7245184,-118.2746836
12007,100,33.7245162,-118.2746833
12246,100,33.7245145,-118.2746845
12561,100,33.7245123,-118.2746871
12218,100,33.7245101,-118.2746883
12345,100,33.724508,-118.2746871
12316,100,33.7245062,-118.2746864
12432,100,33.7245044,-118.2746851
12111,100,33.7245032,-118.274683
12446,100,33.7245011,-118.2746789
12653,100,33.7244991,-118.2746759
12588,100,33.724497,-118.2746739
12211,100,33.7244961,-118.2746716
12427,100,33.7244967,-118.2746719
12515,100,33.7244976,-118.274671
12474,100,33.7244968,-118.2746682
12549,100,33.7244976,-118.2746649
12442,100,33.7244979,-118.2746623
12301,100,33.7244986,-118.2746601
12352,100,33.7244978,-118.2746554
12490,100,33.7244976,-118.2746513
12132,100,33.7245013,-118.2746477
12375,100,33.724501,-118.2746443
12669,100,33.7244988,-118.2746465
12681,100,33.7244991,-118.2746456
12638,100,33.7245,-118.274643
12396,100,33.7245014,-118.2746408
12407,100,33.7245036,-118.2746401
12222,100,33.7245029,-118.2746408
12589,100,33.724502,-118.2746419
12604,100,33.7245023,-118.2746403
12787,100,33.7245023,-118.2746397
12341,100,33.724502,-118.2746401
12430,100,33.7245018,-118.2746393
12522,100,33.7245013,-118.2746383
12489,100,33.7245002,-118.2746373
12593,100,33.7244998,-118.2746367
12634,100,33.7245005,-118.2746352
12574,100,33.7245019,-118.2746337
12245,100,33.7245027,-118.274632
12213,100,33.7245035,-118.2746301
12455,100,33.7245045,-118.2746295
12256,100,33.7245047,-118.2746283
12624,100,33.7245034,-118.2746264
12173,100,33.724502,-118.2746249
12513,100,33.7245006,-118.2746231
12447,100,33.7244997,-118.2746205
12423,100,33.7244989,-118.2746181
12296,100,33.7244985,-118.2746151
12385,100,33.7244983,-118.2746133
12317,100,33.7244984,-118.2746119
12300,100,33.7244994,-118.2746117
12689,100,33.7245004,-118.2746115
12116,100,33.7245001,-118.274608
12442,100,33.7244988,-118.2746045
12455,100,33.7244977,-118.2746034
12431,100,33.7244963,-118.2746035
12545,100,33.724495,-118.2746052
12447,100,33.7244948,-118.2746056
12537,100,33.7244947,-118.2746047
12369,100,33.7244942,-118.2746043
12398,100,33.7244934,-118.2746014
12166,100,33.7244912,-118.2746002
12165,100,33.7244887,-118.2746012
12505,100,33.7244854,-118.2746021
12348,100,33.724484,-118.2746023
12428,100,33.7244837,-118.2746026
12037,100,33.7244835,-118.2746023
12349,100,33.7244827,-118.2746023
12440,100,33.7244817,-118.2746027
12620,100,33.7244807,-118.2746027
12481,100,33.7244799,-118.2746026
12517,100,33.7244793,-118.274602
12530,100,33.7244787,-118.2746016
12644,100,33.7244783,-118.2746014
12288,100,33.7244786,-118.2745997
12751,100,33.7244788,-118.2745975
13193,100,33.7244775,-118.2745947
12320,100,33.7244755,-118.2745929
12503,100,33.7244729,-118.2745912
12331,100,33.7244733,-118.2745909
12347,100,33.7244736,-118.2745903
12712,100,33.7244732,-118.2745898
12515,100,33.7244736,-118.2745903
12521,100,33.7244745,-118.2745915
12498,100,33.7244758,-118.274592
12794,100,33.7244765,-118.2745923
12651,100,33.7244774,-118.2745922
