distance,confidence,lat,lon
2346,100,33.7244635,-118.2746963
2262,100,33.724463,-118.2746979
2342,100,33.7244626,-118.2746991
2303,100,33.7244631,-118.2747
2439,100,33.7244636,-118.274701
2261,100,33.7244637,-118.2747005
2342,100,33.7244634,-118.2747004
2249,100,33.7244631,-118.2747003
2368,100,33.7244632,-118.2747002
2403,100,33.7244631,-118.2746999
2306,100,33.7244628,-118.2747002
2279,100,33.7244627,-118.2746998
2344,100,33.7244618,-118.2747004
2337,100,33.7244606,-118.2747037
2365,100,33.7244597,-118.2747071
2261,100,33.7244586,-118.2747107
2329,100,33.7244578,-118.274712
2287,100,33.7244578,-118.2747121
2382,100,33.7244581,-118.274713
2368,100,33.7244585,-118.2747136
2289,100,33.7244586,-118.2747153
2270,100,33.7244587,-118.2747167
2397,100,33.7244584,-118.2747178
2334,100,33.7244589,-118.2747163
2268,100,33.7244595,-118.2747152
2353,100,33.7244602,-118.274714
2296,100,33.7244613,-118.2747129
2330,100,33.7244626,-118.2747121
2363,100,33.7244632,-118.2747121
2336,100,33.7244633,-118.2747121
2358,100,33.7244629,-118.2747112
2227,100,33.7244626,-118.2747105
2497,100,33.7244623,-118.2747107
2219,100,33.7244622,-118.2747113
2317,100,33.7244621,-118.2747119
2375,100,33.724462,-118.2747123
2318,100,33.7244623,-118.2747118
2269,95,33.7244625,-118.2747104
2379,95,33.7244624,-118.2747097
2379,100,33.724462,-118.2747095
2206,100,33.7244618,-118.274709
2384,100,33.7244618,-118.2747076
2399,100,33.724462,-118.2747068
2248,100,33.724462,-118.2747062
2306,100,33.7244624,-118.274705
2431,100,33.7244626,-118.2747039
2195,100,33.7244635,-118.2747023
2363,100,33.7244649,-118.2747016
2348,100,33.7244668,-118.2747006
2323,95,33.7244687,-118.2746998
2282,95,33.7244701,-118.2746992
2381,100,33.7244715,-118.2746991
2328,100,33.7244726,-118.274699
2287,100,33.7244731,-118.2746984
2392,100,33.7244738,-118.2746967
2294,100,33.7244741,-118.2746963
2310,100,33.7244743,-118.2746964
2337,100,33.7244755,-118.2746956
2318,100,33.7244768,-118.274693
2388,100,33.7244784,-118.2746912
2247,100,33.7244792,-118.2746904
2386,100,33.7244793,-118.2746897
2310,100,33.724479,-118.2746886
2387,100,33.7244794,-118.2746883
2332,100,33.7244793,-118.2746877
2263,100,33.7244798,-118.2746867
2418,100,33.7244799,-118.2746852
2343,100,33.7244797,-118.2746844
2337,100,33.7244794,-118.2746844
2323,100,33.7244792,-118.2746852
2362,100,33.7244795,-118.2746862
2341,100,33.7244792,-118.2746873
2354,100,33.7244771,-118.2746887
2374,100,33.7244746,-118.2746899
2319,100,33.7244713,-118.2746917
2394,100,33.7244694,-118.2746936
2305,100,33.7244682,-118.2746951
2358,100,33.7244677,-118.2746959
2414,100,33.724468,-118.2746967
2276,100,33.7244684,-118.2746977
2266,100,33.7244687,-118.2746977
2388,100,33.7244686,-118.2746968
2335,100,33.7244688,-118.2746957
2232,100,33.7244688,-118.2746961
2293,95,33.7244687,-118.2746963
2261,95,33.7244683,-118.274696
2266,100,33.7244679,-118.2746956
2340,100,33.7244662,-118.2746939
2230,100,33.7244647,-118.2746916
2288,100,33.7244641,-118.2746901
