distance,confidence,lat,lon
2346,100,33.7244512,-118.2747104
2273,95,33.724451,-118.2747107
2356,95,33.7244515,-118.2747109
2313,100,33.7244524,-118.2747107
2313,100,33.7244528,-118.2747106
2328,100,33.7244528,-118.2747108
2289,90,33.7244526,-118.2747111
2338,95,33.7244524,-118.2747112
2334,100,33.7244526,-118.2747106
2329,95,33.724453,-118.2747099
2342,95,33.7244536,-118.2747092
2346,95,33.7244541,-118.2747087
2299,90,33.7244547,-118.274708
2355,95,33.7244554,-118.2747078
2331,95,33.7244558,-118.2747081
2284,80,33.7244559,-118.2747086
2362,75,33.7244562,-118.2747086
2334,85,33.7244564,-118.2747086
2318,95,33.7244562,-118.2747087
2325,100,33.7244559,-118.2747083
2360,100,33.7244552,-118.2747078
2291,100,33.7244544,-118.2747074
2363,100,33.7244538,-118.274707
2320,95,33.7244535,-118.2747069
2328,95,33.7244532,-118.2747068
2327,95,33.724453,-118.2747072
2360,100,33.7244529,-118.2747084
2285,100,33.7244527,-118.2747094
2347,100,33.7244523,-118.2747102
2297,100,33.7244518,-118.2747108
2337,100,33.7244514,-118.2747106
2327,100,33.7244508,-118.2747104
2311,100,33.7244502,-118.2747101
2344,100,33.7244497,-118.2747097
2352,95,33.7244499,-118.2747094
2328,95,33.7244508,-118.2747089
2331,95,33.7244513,-118.2747083
2326,90,33.7244518,-118.2747081
2326,90,33.724452,-118.2747083
2319,100,33.724452,-118.2747086
2322,100,33.7244514,-118.2747088
2366,100,33.7244511,-118.2747085
2283,100,33.7244506,-118.2747082
2384,100,33.7244501,-118.2747079
2299,100,33.7244489,-118.2747078
2318,100,33.7244479,-118.2747079
2370,100,33.724447,-118.2747078
2323,100,33.7244461,-118.2747078
2311,100,33.7244455,-118.2747076
2347,100,33.724445,-118.2747074
2325,100,33.7244448,-118.2747069
2308,95,33.724445,-118.274706
2405,100,33.7244458,-118.2747048
2312,100,33.7244464,-118.2747038
2348,100,33.7244474,-118.2747029
2354,95,33.7244484,-118.2747019
2283,85,33.7244485,-118.2747016
2372,95,33.7244484,-118.2747013
2321,100,33.7244477,-118.2747015
2314,100,33.7244475,-118.274702
2351,100,33.7244471,-118.2747028
2335,100,33.7244468,-118.2747032
2308,100,33.7244469,-118.2747037
